Document,WordCount,SentenceCount,Words/Sentence,hRelCount,hPropCount,TotalHedges,Hedges/Total Words,Hedges/Sentence
0d5a7256cdfa7d3bb2a2fb48d53595f0.anno.txt,926,70,13.2285714286,8,4,12,0.0129589632829,0.171428571429
0e1c5efd9cc0da984d9bf28e11538c36.anno.txt,961,44,21.8409090909,11,31,42,0.0437044745057,0.954545454545

8,1887,114,16.5526315789,19,35,54,0.0286168521463,0.473684210526
